This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
1/1/2011, 0
1/2/2011, 0
1/3/2011, 0
1/4/2011, 0
1/5/2011, 0
1/6/2011, 0
1/7/2011, 0
1/8/2011, 0
1/9/2011, 0.5985013608579283
1/10/2011, 0.3684286046911169
1/11/2011, 0
1/12/2011, 0
1/13/2011, 0
1/14/2011, 0
1/15/2011, 0
1/16/2011, 0
1/17/2011, 0
1/18/2011, 0
1/19/2011, 0
1/20/2011, 0
1/21/2011, 0
1/22/2011, 0
1/23/2011, 0
1/24/2011, 0
1/25/2011, 0
1/26/2011, 0
1/27/2011, 0
1/28/2011, 0
1/29/2011, 0
1/30/2011, 0
1/31/2011, 0
2/1/2011, 0
2/2/2011, 0.07040193345811632
2/3/2011, 0.28292564109519674
2/4/2011, 0.22228226838288484
2/5/2011, 0
2/6/2011, 0
2/7/2011, 0
2/8/2011, 0
2/9/2011, 0
2/10/2011, 0
2/11/2011, 0
2/12/2011, 0
2/13/2011, 0
2/14/2011, 0
2/15/2011, 0
2/16/2011, 0
2/17/2011, 0
2/18/2011, 0
2/19/2011, 0
2/20/2011, 0
2/21/2011, 0
2/22/2011, 0
2/23/2011, 0.7970151548032407
2/24/2011, 0
2/25/2011, 0
2/26/2011, 0.8033846254701967
2/27/2011, 0
2/28/2011, 0
3/1/2011, 0
3/2/2011, 0
3/3/2011, 0
3/4/2011, 0
3/5/2011, 0
3/6/2011, 0
3/7/2011, 0
3/8/2011, 0
3/9/2011, 0
3/10/2011, 0
3/11/2011, 0
3/12/2011, 0
3/13/2011, 0
3/14/2011, 0
3/15/2011, 0
3/16/2011, 0
3/17/2011, 0
3/18/2011, 0
3/19/2011, 0
3/20/2011, 0
3/21/2011, 0
3/22/2011, 0
3/23/2011, 0
3/24/2011, 0
3/25/2011, 4.752738896122685
3/26/2011, 0.3646292509856047
3/27/2011, 0
3/28/2011, 0
3/29/2011, 0
3/30/2011, 0
3/31/2011, 0
4/1/2011, 0
4/2/2011, 0.7567682336877893
4/3/2011, 0.6583621554904514
4/4/2011, 0
4/5/2011, 0
4/6/2011, 0
4/7/2011, 0
4/8/2011, 0
4/9/2011, 0.08661366215458623
4/10/2011, 0
4/11/2011, 0
4/12/2011, 0
4/13/2011, 0
4/14/2011, 6.618409107349537
4/15/2011, 8.822319878472221
4/16/2011, 0.5460244637948496
4/17/2011, 0.21479889198585791
4/18/2011, 6.398539225260417
4/19/2011, 15.882401982060186
4/20/2011, 5.869492820457176
4/21/2011, 25.847229456018518
4/22/2011, 21.705078125
4/23/2011, 21.929215494791666
4/24/2011, 12.495259150752315
4/25/2011, 8.311155418113426
4/26/2011, 0.4432175812897859
4/27/2011, 0
4/28/2011, 9.137932219328704
4/29/2011, 12.33115867332176
4/30/2011, 8.629633246527778
5/1/2011, 5.882409215856481
5/2/2011, 2.152847629123264
5/3/2011, 20.937257667824074
5/4/2011, 6.611794704861111
5/5/2011, 4.813583260995371
5/6/2011, 0
5/7/2011, 0
5/8/2011, 0
5/9/2011, 0
5/10/2011, 0
5/11/2011, 0.007595090512876157
5/12/2011, 0.08517730854175709
5/13/2011, 2.5270302101417825
5/14/2011, 0.49333970811631944
5/15/2011, 0
5/16/2011, 1.0707430239076967
5/17/2011, 0.4440495243778935
5/18/2011, 2.298527244285301
5/19/2011, 15.444487847222222
5/20/2011, 13.054408094618056
5/21/2011, 0.16912412290219908
5/22/2011, 0
5/23/2011, 4.714882179542824
5/24/2011, 14.344436306423612
5/25/2011, 16.089724392361113
5/26/2011, 1.14631426775897
5/27/2011, 4.55414134837963
5/28/2011, 1.354074548791956
5/29/2011, 7.32553077980324
5/30/2011, 34.74040075231481
5/31/2011, 4.491449652777778
6/1/2011, 15.891813151041667
6/2/2011, 1.789334558557581
6/3/2011, 3.5330613878038193
6/4/2011, 1.9384080674913196
6/5/2011, 1.278658718532986
6/6/2011, 11.99960033275463
6/7/2011, 0
6/8/2011, 5.320981626157407
6/9/2011, 0.08179004104049117
6/10/2011, 0.09035694687454789
6/11/2011, 0.2134434735333478
6/12/2011, 0
6/13/2011, 0.025152914612381547
6/14/2011, 1.2207895914713542
6/15/2011, 0.25740379050925927
6/16/2011, 0.2543028089735243
6/17/2011, 1.318472855179398
6/18/2011, 0
6/19/2011, 0
6/20/2011, 0
6/21/2011, 0
6/22/2011, 0
6/23/2011, 0.029420464127152053
6/24/2011, 2.5706651475694446
6/25/2011, 10.401659252025462
6/26/2011, 0.3504429852520978
6/27/2011, 0
6/28/2011, 0
6/29/2011, 0
6/30/2011, 4.07610767505787
7/1/2011, 8.917520254629629
7/2/2011, 8.3060791015625
7/3/2011, 4.053656684027778
7/4/2011, 5.197402162905092
7/5/2011, 4.1169632523148145
7/6/2011, 0.7842657018590856
7/7/2011, 1.145814683702257
7/8/2011, 0.10667152404785156
7/9/2011, 5.198746744791666
7/10/2011, 0.04307383784541377
7/11/2011, 3.245419650607639
7/12/2011, 2.757307038483796
7/13/2011, 5.785352466724537
7/14/2011, 0.7688307020399305
7/15/2011, 0
7/16/2011, 3.324843343098958
7/17/2011, 0.04705926047431098
7/18/2011, 0.14883651733398437
7/19/2011, 0.0413633664449056
7/20/2011, 4.453770616319445
7/21/2011, 3.049359130859375
7/22/2011, 1.7731834129050925
7/23/2011, 1.1738706235532408
7/24/2011, 2.9968587239583333
7/25/2011, 5.136318630642361
7/26/2011, 6.046640805844907
7/27/2011, 0.6712565104166667
7/28/2011, 2.444169108072917
7/29/2011, 0.6417167946144386
7/30/2011, 1.171181685836227
7/31/2011, 0.23097319426359952
8/1/2011, 0.14030733461733216
8/2/2011, 4.4499692563657405
8/3/2011, 8.249262152777778
8/4/2011, 0.22788165057146992
8/5/2011, 4.508666087962963
8/6/2011, 3.226625343605324
8/7/2011, 0.24295456497757523
8/8/2011, 7.652716290509259
8/9/2011, 5.488523582175926
8/10/2011, 20.085498046875
8/11/2011, 16.164091435185185
8/12/2011, 0.8425226282190393
8/13/2011, 2.654954246238426
8/14/2011, 5.695768229166666
8/15/2011, 8.958018663194444
8/16/2011, 10.859123625578704
8/17/2011, 16.098741319444443
8/18/2011, 23.73566261574074
8/19/2011, 11.482275390625
8/20/2011, 10.39076244212963
8/21/2011, 14.612312825520833
