This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
1/1/2011, 0
1/2/2011, 0
1/3/2011, 0
1/4/2011, 0
1/5/2011, 0
1/6/2011, 0
1/7/2011, 0
1/8/2011, 0
1/9/2011, 0
1/10/2011, 0
1/11/2011, 0
1/12/2011, 0
1/13/2011, 0
1/14/2011, 0
1/15/2011, 0
1/16/2011, 0
1/17/2011, 0
1/18/2011, 0
1/19/2011, 0
1/20/2011, 0
1/21/2011, 0
1/22/2011, 0
1/23/2011, 0
1/24/2011, 0
1/25/2011, 0
1/26/2011, 0
1/27/2011, 0
1/28/2011, 0
1/29/2011, 0
1/30/2011, 0
1/31/2011, 0
2/1/2011, 0
2/2/2011, 0.0018072435121496016
2/3/2011, 0
2/4/2011, 0
2/5/2011, 0
2/6/2011, 0
2/7/2011, 0
2/8/2011, 0
2/9/2011, 0
2/10/2011, 0
2/11/2011, 0
2/12/2011, 0
2/13/2011, 0
2/14/2011, 0
2/15/2011, 0
2/16/2011, 0
2/17/2011, 0
2/18/2011, 0
2/19/2011, 0
2/20/2011, 0
2/21/2011, 0
2/22/2011, 0
2/23/2011, 0.23401918692930843
2/24/2011, 0.18763253256238463
2/25/2011, 0
2/26/2011, 0
2/27/2011, 0
2/28/2011, 0
3/1/2011, 0
3/2/2011, 0
3/3/2011, 0
3/4/2011, 0
3/5/2011, 0
3/6/2011, 0
3/7/2011, 0
3/8/2011, 0
3/9/2011, 0
3/10/2011, 0
3/11/2011, 0
3/12/2011, 0
3/13/2011, 0
3/14/2011, 0
3/15/2011, 0
3/16/2011, 0
3/17/2011, 0
3/18/2011, 0
3/19/2011, 0
3/20/2011, 0
3/21/2011, 0
3/22/2011, 0.1498206738178237
3/23/2011, 0.03982102921240441
3/24/2011, 3.83733229496308
3/25/2011, 1.8687941152838212
3/26/2011, 3.379594376318565
3/27/2011, 0.015884007079691828
3/28/2011, 0.10125038694228804
3/29/2011, 0.10547166333419865
3/30/2011, 0
3/31/2011, 0
4/1/2011, 0.5035603197315072
4/2/2011, 1.9009950533194884
4/3/2011, 0.5002111764899789
4/4/2011, 0
4/5/2011, 0
4/6/2011, 0
4/7/2011, 0
4/8/2011, 0
4/9/2011, 6.0029358682753164
4/10/2011, 8.338788382614716
4/11/2011, 0.13498903427445938
4/12/2011, 0.4213374335051589
4/13/2011, 3.0104692032568567
4/14/2011, 7.673421739022943
4/15/2011, 8.304289355056698
4/16/2011, 8.137161705564345
4/17/2011, 6.37417898701213
4/18/2011, 13.496132894910337
4/19/2011, 11.938412694488397
4/20/2011, 5.695795115539293
4/21/2011, 18.482053088739452
4/22/2011, 15.243485462816455
4/23/2011, 20.75003296413502
4/24/2011, 5.0673034925501055
4/25/2011, 10.11867088607595
4/26/2011, 3.4401973933610233
4/27/2011, 0.21140060746720069
4/28/2011, 1.7556326178055774
4/29/2011, 0.7647452696466245
4/30/2011, 13.11610792457806
5/1/2011, 6.751747099156118
5/2/2011, 2.757662616198576
5/3/2011, 11.300838937236287
5/4/2011, 2.4443300142569884
5/5/2011, 0.3358622361839069
5/6/2011, 0
5/7/2011, 0
5/8/2011, 0
5/9/2011, 0
5/10/2011, 0
5/11/2011, 1.6709348783211366
5/12/2011, 0.0769145096404643
5/13/2011, 4.932492541864452
5/14/2011, 5.080633364649262
5/15/2011, 4.499019316983122
5/16/2011, 0.008378560533000448
5/17/2011, 13.557540957937764
5/18/2011, 1.353719848117748
5/19/2011, 12.276339374011076
5/20/2011, 5.0823284422798
5/21/2011, 0
5/22/2011, 0.11572082938021246
5/23/2011, 3.8937370203718356
5/24/2011, 4.700131444488397
5/25/2011, 4.8211798688027425
5/26/2011, 5.557037739814082
5/27/2011, 9.131861690730485
5/28/2011, 5.488164845398207
5/29/2011, 1.1200620755867616
5/30/2011, 27.086594722441983
5/31/2011, 3.735925344475211
6/1/2011, 41.03067312763713
6/2/2011, 4.939743621439874
6/3/2011, 41.01815911787975
6/4/2011, 1.0878180008900316
6/5/2011, 1.7231847062895569
6/6/2011, 1.5596277422039821
6/7/2011, 0.13039732985355684
6/8/2011, 0.008904891678049594
6/9/2011, 0
6/10/2011, 0
6/11/2011, 0.21747379866330432
6/12/2011, 2.4603572797171678
6/13/2011, 3.434498203454641
6/14/2011, 23.581303978771096
6/15/2011, 27.76860825421941
6/16/2011, 9.707472145305907
6/17/2011, 12.396976776766877
6/18/2011, 6.724866907304852
6/19/2011, 0
6/20/2011, 0
6/21/2011, 0
6/22/2011, 0
6/23/2011, 0
6/24/2011, 0.22731922648627043
6/25/2011, 52.06316752373418
6/26/2011, 14.285336522613397
6/27/2011, 4.182245310851793
6/28/2011, 0
6/29/2011, 0
6/30/2011, 1.7877220443532438
7/1/2011, 24.6409381592827
7/2/2011, 9.589106177478904
7/3/2011, 2.608464623302347
7/4/2011, 16.692982347705698
7/5/2011, 1.1450599638218617
7/6/2011, 6.587343626384493
7/7/2011, 1.2781849792738
7/8/2011, 0.8343150464794303
7/9/2011, 0.6544654298935259
7/10/2011, 0
7/11/2011, 1.2300337779371044
7/12/2011, 7.540121987902163
7/13/2011, 41.84962585706751
7/14/2011, 4.924392635812236
7/15/2011, 1.4988068528316192
7/16/2011, 3.6778348125988924
7/17/2011, 0.727411262093717
7/18/2011, 14.454202515163502
7/19/2011, 0.45656936581124735
7/20/2011, 19.299573938554854
7/21/2011, 10.77558428929325
7/22/2011, 4.425097244198312
7/23/2011, 6.064739500922996
7/24/2011, 6.880130043512659
7/25/2011, 21.86134460706751
7/26/2011, 20.939599403349156
7/27/2011, 6.731781649690137
7/28/2011, 5.343280261075949
7/29/2011, 1.3853911709684863
7/30/2011, 17.134903662315402
7/31/2011, 3.712729667309467
8/1/2011, 0
8/2/2011, 28.395755043512658
8/3/2011, 62.17931665348101
8/4/2011, 1.4822135313653744
8/5/2011, 4.811280327004219
8/6/2011, 3.264739346403613
8/7/2011, 0
8/8/2011, 0.9090186010433149
8/9/2011, 0.5645315435868276
8/10/2011, 32.12857042787447
8/11/2011, 20.259415381065402
8/12/2011, 0.5253962907107067
8/13/2011, 0.0068730191339420365
8/14/2011, 1.2537472238017537
8/15/2011, 18.4739459717827
8/16/2011, 26.17624892866561
8/17/2011, 31.078166205168777
