This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
9/11/2011, 6.511387473658512
9/12/2011, 10.957061767578125
9/13/2011, 6.093046087967722
9/14/2011, 11.07167535079153
9/15/2011, 7.8285972193667765
9/16/2011, 1.441827472887541
9/17/2011, 1.9621664348401522
9/18/2011, 0.4435415267944336
9/19/2011, 28.78375244140625
9/20/2011, 9.29461669921875
9/21/2011, 0
9/22/2011, 0
9/23/2011, 0
9/24/2011, 0
9/25/2011, 0
9/26/2011, 0
9/27/2011, 0
9/28/2011, 0
9/29/2011, 0
9/30/2011, 0.4156302903827868
10/1/2011, 0
10/2/2011, 9.934099699321546
10/3/2011, 6.31114999871505
10/4/2011, 0
10/5/2011, 0
10/6/2011, 0
10/7/2011, 0.6499475679899517
10/8/2011, 3.2532960992110405
10/9/2011, 16.14657271535773
10/10/2011, 15.632993999280428
10/11/2011, 8.954169825503701
10/12/2011, 21.881574128803454
10/13/2011, 9.186460796155428
10/14/2011, 0
10/15/2011, 10.711347881116366
10/16/2011, 0
10/17/2011, 0
10/18/2011, 0
10/19/2011, 0
10/20/2011, 2.5336102937397205
10/21/2011, 0
10/22/2011, 2.024198431717722
10/23/2011, 1.5989342739707546
10/24/2011, 10.451756527549342
10/25/2011, 13.592683490953947
10/26/2011, 0
10/27/2011, 0.89058434335809
10/28/2011, 0
10/29/2011, 17.05054353412829
10/30/2011, 0
10/31/2011, 0
11/1/2011, 6.0237988923725325
11/2/2011, 1.7839182803505345
11/3/2011, 0
11/4/2011, 5.585154483192845
11/5/2011, 0
11/6/2011, 0
11/7/2011, 0
11/8/2011, 0
11/9/2011, 0
11/10/2011, 0
11/11/2011, 0
11/12/2011, 0
11/13/2011, 0
11/14/2011, 0
11/15/2011, 0
11/16/2011, 0
11/17/2011, 0
11/18/2011, 0
11/19/2011, 0
11/20/2011, 0
11/21/2011, 2.364147788599918
11/22/2011, 0
11/23/2011, 0
11/24/2011, 0
11/25/2011, 11.225341796875
11/26/2011, 14.258339329769736
11/27/2011, 1.7839989913137335
11/28/2011, 2.284067655864515
11/29/2011, 0
11/30/2011, 0
12/1/2011, 0
12/2/2011, 0
12/3/2011, 0
12/4/2011, 0
12/5/2011, 0
12/6/2011, 0
12/7/2011, 0
12/8/2011, 0
12/9/2011, 0
12/10/2011, 0
12/11/2011, 0
12/12/2011, 0
12/13/2011, 0
12/14/2011, 0
12/15/2011, 0
12/16/2011, 0
12/17/2011, 0
