This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
1/1/2011, 0
1/2/2011, 0
1/3/2011, 0
1/4/2011, 0
1/5/2011, 0
1/6/2011, 0
1/7/2011, 0
1/8/2011, 0
1/9/2011, 0.7710615255064883
1/10/2011, 0.035519422110864673
1/11/2011, 0
1/12/2011, 0
1/13/2011, 0
1/14/2011, 0
1/15/2011, 0
1/16/2011, 0
1/17/2011, 0
1/18/2011, 0
1/19/2011, 0
1/20/2011, 0
1/21/2011, 0
1/22/2011, 0
1/23/2011, 0
1/24/2011, 0
1/25/2011, 0
1/26/2011, 0
1/27/2011, 0
1/28/2011, 0
1/29/2011, 0
1/30/2011, 0
1/31/2011, 0
2/1/2011, 0
2/2/2011, 0
2/3/2011, 0
2/4/2011, 0
2/5/2011, 0
2/6/2011, 0
2/7/2011, 0
2/8/2011, 0
2/9/2011, 0
2/10/2011, 0
2/11/2011, 0
2/12/2011, 0
2/13/2011, 0
2/14/2011, 0
2/15/2011, 0
2/16/2011, 0
2/17/2011, 0
2/18/2011, 0
2/19/2011, 0
2/20/2011, 0
2/21/2011, 0
2/22/2011, 0.05962440118951313
2/23/2011, 2.570387500827595
2/24/2011, 0
2/25/2011, 0
2/26/2011, 6.3283541404594805
2/27/2011, 0
2/28/2011, 0
3/1/2011, 0
3/2/2011, 0
3/3/2011, 0
3/4/2011, 0
3/5/2011, 0
3/6/2011, 0
3/7/2011, 0
3/8/2011, 0
3/9/2011, 0
3/10/2011, 0
3/11/2011, 0
3/12/2011, 0
3/13/2011, 0
3/14/2011, 0
3/15/2011, 0
3/16/2011, 0
3/17/2011, 0
3/18/2011, 0
3/19/2011, 0
3/20/2011, 0
3/21/2011, 0
3/22/2011, 0
3/23/2011, 0
3/24/2011, 0
3/25/2011, 10.04876708984375
3/26/2011, 0
3/27/2011, 0
3/28/2011, 0
3/29/2011, 0
3/30/2011, 0
3/31/2011, 0
4/1/2011, 0
4/2/2011, 2.4284735210871293
4/3/2011, 1.3793623326188427
4/4/2011, 0
4/5/2011, 0
4/6/2011, 0
4/7/2011, 0
4/8/2011, 0
4/9/2011, 0.08760275275020277
4/10/2011, 0
4/11/2011, 0
4/12/2011, 0
4/13/2011, 0.10696175138829118
4/14/2011, 9.82249321371822
4/15/2011, 6.068416789426642
4/16/2011, 0
4/17/2011, 2.3642578125
4/18/2011, 15.963649943723517
4/19/2011, 13.177786099708687
4/20/2011, 8.911082122285487
4/21/2011, 26.723370050979874
4/22/2011, 25.456106412208687
4/23/2011, 20.314840025820974
4/24/2011, 4.586467161016949
4/25/2011, 6.5753929008871825
4/26/2011, 2.3014753955905722
4/27/2011, 0
4/28/2011, 6.6414432848914196
4/29/2011, 6.5243887173927435
4/30/2011, 10.18833794028072
5/1/2011, 8.57607308080641
5/2/2011, 0.052230079295271535
5/3/2011, 23.821609755693856
5/4/2011, 0.053603717836283024
5/5/2011, 7.337157685877913
5/6/2011, 0
5/7/2011, 0
5/8/2011, 0
5/9/2011, 0
5/10/2011, 0
5/11/2011, 0
5/12/2011, 0
5/13/2011, 0.18047423281912076
5/14/2011, 4.296955949169094
5/15/2011, 0
5/16/2011, 0
5/17/2011, 0.12582827422578455
5/18/2011, 5.793491169557733
5/19/2011, 22.07228010791843
5/20/2011, 13.455772270590572
5/21/2011, 0
5/22/2011, 0
5/23/2011, 0.10374579187166894
5/24/2011, 12.858399471994174
5/25/2011, 13.714465125132415
5/26/2011, 2.7687289997682734
5/27/2011, 4.285419787390757
5/28/2011, 3.0675457453323625
5/29/2011, 2.7374683962029924
5/30/2011, 26.03452934653072
5/31/2011, 1.5314580626406913
6/1/2011, 26.602023884401483
6/2/2011, 1.6388082989191606
6/3/2011, 3.630037728002516
6/4/2011, 0
6/5/2011, 0.4242455433990996
6/6/2011, 6.10140732587394
6/7/2011, 0
6/8/2011, 5.133230952893273
6/9/2011, 0.26281120817540055
6/10/2011, 0
6/11/2011, 0
6/12/2011, 0
6/13/2011, 0.09467657541824599
6/14/2011, 0.7433753579349841
6/15/2011, 0.283664089138225
6/16/2011, 0
6/17/2011, 0.8134440405894134
6/18/2011, 0.6485850447315281
6/19/2011, 0
6/20/2011, 0
6/21/2011, 0
6/22/2011, 0
6/23/2011, 0
6/24/2011, 0
6/25/2011, 12.475479384600106
6/26/2011, 0.2862947108381886
6/27/2011, 0
6/28/2011, 0
6/29/2011, 0
6/30/2011, 0
7/1/2011, 6.191612114340572
7/2/2011, 1.968810517909163
7/3/2011, 3.8930989928164723
7/4/2011, 3.423466827909825
7/5/2011, 1.28456322621491
7/6/2011, 0.04901188510959431
7/7/2011, 0.9010454598119704
7/8/2011, 0
7/9/2011, 4.5956979525291315
7/10/2011, 0
7/11/2011, 0.9611472436937235
7/12/2011, 1.8747474541098386
7/13/2011, 6.773735434322034
7/14/2011, 1.9236263986361228
7/15/2011, 0
7/16/2011, 0
7/17/2011, 0
7/18/2011, 0
7/19/2011, 0
7/20/2011, 4.329717345156912
7/21/2011, 1.4996546082577462
7/22/2011, 1.6740306272345074
7/23/2011, 0.8148658881753178
7/24/2011, 2.0239906957594016
7/25/2011, 5.65201064287606
7/26/2011, 5.656727419061176
7/27/2011, 0.7535585953017413
7/28/2011, 0.22248274593029993
7/29/2011, 0.5406905675338487
7/30/2011, 1.3238068920070842
7/31/2011, 0.4097942416950808
8/1/2011, 0
8/2/2011, 4.8341317904197565
8/3/2011, 9.771612652277541
8/4/2011, 0
8/5/2011, 2.121025732008077
8/6/2011, 0.92464796163268
8/7/2011, 0
8/8/2011, 4.3888798083289196
8/9/2011, 5.310975672835011
8/10/2011, 19.937528965836865
8/11/2011, 10.340802726099046
8/12/2011, 0
8/13/2011, 2.5128810042041843
8/14/2011, 7.484506380760063
8/15/2011, 7.396974207991261
8/16/2011, 16.283190711069917
8/17/2011, 13.743440272444385
8/18/2011, 13.301151598914196
8/19/2011, 5.439555022676112
8/20/2011, 6.072327177403337
8/21/2011, 10.091765840174789
8/22/2011, 1.4801209013340837
8/23/2011, 5.577247748940678
8/24/2011, 17.26691811771716
8/25/2011, 6.801877813824152
8/26/2011, 4.083106865317134
8/27/2011, 0.28699629185563424
8/28/2011, 0
8/29/2011, 0
8/30/2011, 0
