This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
7/27/2011, 2.2221279568142362
7/28/2011, 1.5279796459056714
7/29/2011, 1.3271091037326388
7/30/2011, 9.030789749710648
7/31/2011, 2.0277605975115742
8/1/2011, 1.845504308629919
8/2/2011, 24.947688802083334
8/3/2011, 27.25964265046296
8/4/2011, 0.0429186397128635
8/5/2011, 0.9261464436848958
8/6/2011, 0.41942011515299477
8/7/2011, 0
8/8/2011, 5.365900788483796
8/9/2011, 9.124078595196758
8/10/2011, 29.23041087962963
8/11/2011, 20.763465711805555
8/12/2011, 0
8/13/2011, 2.701540798611111
8/14/2011, 11.964653862847221
8/15/2011, 12.798744936342592
8/16/2011, 22.35650318287037
8/17/2011, 26.75406539351852
8/18/2011, 12.957155128761574
8/19/2011, 10.022007921006944
8/20/2011, 11.736384186921295
8/21/2011, 13.603600622106482
8/22/2011, 6.1584043149594905
8/23/2011, 7.001374421296297
8/24/2011, 17.74138816550926
8/25/2011, 7.24744556568287
8/26/2011, 4.704191080729166
8/27/2011, 1.0739263463903357
8/28/2011, 0
8/29/2011, 0
8/30/2011, 0
8/31/2011, 22.14051287615741
9/1/2011, 29.87809787326389
9/2/2011, 11.571658890335648
9/3/2011, 0
9/4/2011, 16.071097366898147
9/5/2011, 5.607145182291666
9/6/2011, 7.847562210648148
9/7/2011, 0
9/8/2011, 0
9/9/2011, 1.6456250226056135
9/10/2011, 6.630675365306713
9/11/2011, 2.7330238624855325
9/12/2011, 3.811031539351852
9/13/2011, 5.640815339265046
9/14/2011, 7.372127278645833
9/15/2011, 8.592347547743056
9/16/2011, 0.28541110003436054
9/17/2011, 0.14178572760687935
9/18/2011, 0
9/19/2011, 14.281380208333333
9/20/2011, 15.449891493055556
9/21/2011, 0.08962205957483363
9/22/2011, 0
9/23/2011, 0.17952223883734808
9/24/2011, 0
9/25/2011, 0
9/26/2011, 7.288883463541667
9/27/2011, 6.065773292824074
9/28/2011, 0.35702381840458625
9/29/2011, 0
9/30/2011, 7.639655671296296
10/1/2011, 7.459960033275463
10/2/2011, 3.5117463288483797
10/3/2011, 2.154201027199074
10/4/2011, 0
10/5/2011, 0
10/6/2011, 0
10/7/2011, 0
10/8/2011, 2.2983647099247686
10/9/2011, 10.199991861979166
10/10/2011, 12.824900535300927
10/11/2011, 20.389402488425926
10/12/2011, 33.91158130787037
10/13/2011, 7.712773075810185
10/14/2011, 24.406691261574075
10/15/2011, 25.267986834490742
10/16/2011, 16.61460503472222
10/17/2011, 5.370405635127315
10/18/2011, 4.7606196650752315
10/19/2011, 8.897444661458334
10/20/2011, 26.241207320601852
10/21/2011, 15.817748119212963
10/22/2011, 10.119507740162037
10/23/2011, 18.192268880208335
10/24/2011, 17.438972077546296
